Art ID,Artist,Title,Gallery Price,Year
"G26474","NICHOLSON_ BEN","CLOUD MAY 78","75000.0000","1978"
"G26476","NICHOLSON_ BEN","UNTITLED","75000.0000","UNKNOWN"

